Inv_Year_ID,Province_ID,EF_Category_ID,EF_Category_Name,Population_EF_Category,Population,CH4_Emissions_EF_Category_GgYear,CH4_Emissions_MM_Category,EF_MT_CO2e,MM_MTCO2e,
2004,PE,7,Llama and alpaca,0.1172,0.1172,0.0009376,3.90779E-05,2.62528E-05,1.09418E-06,
2004,PE,8,Swine,129.75,129.75,0.194625,0.52505801,0.0054495,0.014701624,
2004,PE,9,Poultry,417.8826732,417.8826732,0,0.011229121,0,0.000314415,
2004,PE,11,Mules and Asses,0.039852414,0.039852414,0.000398524,3.02878E-05,1.11587E-05,8.48059E-07,
2004,PE,12,Deer,0,0,0,0,0,0,
2004,PE,13,Elk,0.0428,0.0428,0.000856,0.000009416,0.000023968,2.63648E-07,
2004,PE,14,Wild boars,0,0,0,0,0,0,
2004,PE,15,Rabbit,0.024183556,0.024183556,0,1.93468E-06,0,5.41712E-08,
2004,PE,16,Mink,10.6,10.6,0,0.007208,0,0.000201824,
2004,PE,17,Fox,0.55,0.55,0,0.000374,0,0.000010472,
2004,QC,1,Dairy Cattle,403.5,403.5,47.69389617,9.338932655,1.335429093,0.261490114,
2004,QC,2,Non-Dairy Cattle,1064,1064,70.46912571,8.325987047,1.97313552,0.233127637,
2004,QC,3,Sheep and Lamb,270,270,2.16,0.077525187,0.06048,0.002170705,
2004,QC,4,Goat,29.4568,29.4568,0.147284,0.009304824,0.004123952,0.000260535,
2004,QC,5,Buffalo,4.27,4.27,0.23485,0.020217233,0.0065758,0.000566083,
2004,QC,6,Horse,24.8268,24.8268,0.4468824,0.061654277,0.012512707,0.00172632,
2004,QC,7,Llama and alpaca,0.594,0.594,0.004752,0.000198057,0.000133056,5.5456E-06,
2004,QC,8,Swine,4290.25,4290.25,6.435375,20.94518494,0.1801905,0.586465178,
2004,QC,9,Poultry,30562.5298,30562.5298,0,1.987855493,0,0.055659954,
2004,QC,11,Mules and Asses,0.3264,0.3264,0.003264,0.000248064,0.000091392,6.94579E-06,
2004,QC,12,Deer,14.8506,14.8506,0.297012,0.003267132,0.008316336,9.14797E-05,
2004,QC,13,Elk,3.4986,3.4986,0.069972,0.000769692,0.001959216,2.15514E-05,
2004,QC,14,Wild boars,2.5456,2.5456,0.0038184,0.001434301,0.000106915,4.01604E-05,
2004,QC,15,Rabbit,12.98828604,12.98828604,0,0.001039063,0,2.90938E-05,
2004,QC,16,Mink,11,11,0,0.00748,0,0.00020944,
2004,QC,17,Fox,1.13,1.13,0,0.0007684,0,2.15152E-05,
2004,SK,1,Dairy Cattle,31.25,31.25,4.244163527,0.561230457,0.118836579,0.015714453,
2004,SK,2,Non-Dairy Cattle,3166.25,3166.25,220.0154332,7.610230581,6.160432128,0.213086456,
2004,SK,3,Sheep and Lamb,142.5,142.5,1.14,0.038197981,0.03192,0.001069543,
2004,SK,4,Goat,13.3946,13.3946,0.066973,0.004231091,0.001875244,0.000118471,
2004,SK,5,Buffalo,48.3494,48.3494,2.659217,0.104054831,0.074458076,0.002913535,
2004,SK,6,Horse,68.0708,68.0708,1.2252744,0.181414559,0.034307683,0.005079608,
2004,SK,7,Llama and alpaca,4.182,4.182,0.033456,0.001394401,0.000936768,3.90432E-05,
2004,SK,8,Swine,1306.25,1306.25,1.959375,6.411975797,0.0548625,0.179535322,
2004,SK,9,Poultry,4981.4504,4981.4504,0,0.197284201,0,0.005523958,
2004,SK,11,Mules and Asses,1.327,1.327,0.01327,0.00100852,0.00037156,2.82386E-05,
2004,SK,12,Deer,7.6146,7.6146,0.152292,0.001675212,0.004264176,4.69059E-05,
2004,SK,13,Elk,28.212,28.212,0.56424,0.00620664,0.01579872,0.000173786,
2004,SK,14,Wild boars,13.518,13.518,0.020277,0.007616625,0.000567756,0.000213266,
2004,SK,15,Rabbit,0.372556788,0.372556788,0,2.98045E-05,0,8.34527E-07,
2004,SK,16,Mink,0,0,0,0,0,0,
2004,SK,17,Fox,0.1,0.1,0,0.000068,0,0.000001904,
2005,AB,1,Dairy Cattle,84,84,10.49501388,2.43688916,0.293860389,0.068232896,
2005,AB,2,Non-Dairy Cattle,6231.000487,6231,448.9846445,16.75831184,12.57157005,0.469232732,
2005,AB,3,Sheep and Lamb,205,205,1.64,0.056062362,0.04592,0.001569746,
2005,AB,4,Goat,31.7444,31.7444,0.158722,0.010027432,0.004444216,0.000280768,
2005,AB,5,Buffalo,93.839,93.839,5.161145,0.19926223,0.14451206,0.005579342,
2005,AB,6,Horse,156.4188,156.4188,2.8155384,0.407395297,0.078835075,0.011407068,
2005,AB,7,Llama and alpaca,14.366,14.366,0.114928,0.004667223,0.003217984,0.000130682,
2005,AB,8,Swine,2020.25,2020.25,3.030375,9.809578427,0.0848505,0.274668196,
2005,AB,9,Poultry,12576.9944,12576.9944,0,1.449610156,0,0.040589084,
2005,AB,11,Mules and Asses,4.6272,4.6272,0.046272,0.003516672,0.001295616,9.84668E-05,
